,date,NAV,NavperUnit,sellingPrice,redemptionPrice,change,FundName
1334,2017-08-18,15356783566.54,10.8808,10.8809,10.8808,0.0003,B-TREASURY : Bualuang Treasury Fund
1335,2017-08-17,15558017384.68,10.8805,10.8806,10.8805,0.0003,B-TREASURY : Bualuang Treasury Fund
1336,2017-08-16,15834823571.27,10.8802,10.8803,10.8802,0.0002,B-TREASURY : Bualuang Treasury Fund
1337,2017-08-15,15920754830.16,10.88,10.8801,10.88,0.0012,B-TREASURY : Bualuang Treasury Fund
1338,2017-08-11,15852403898.23,10.8788,10.8789,10.8788,0.0003,B-TREASURY : Bualuang Treasury Fund
1339,2017-08-10,15863912894.02,10.8785,10.8786,10.8785,0.0003,B-TREASURY : Bualuang Treasury Fund
1340,2017-08-09,15830673657.9,10.8782,10.8783,10.8782,0.0003,B-TREASURY : Bualuang Treasury Fund
1341,2017-08-08,15982379486.71,10.8779,10.878,10.8779,0.0003,B-TREASURY : Bualuang Treasury Fund
1342,2017-08-07,16016999774.6,10.8776,10.8777,10.8776,0.0009,B-TREASURY : Bualuang Treasury Fund
1343,2017-08-04,15737752936.75,10.8767,10.8768,10.8767,0.0004,B-TREASURY : Bualuang Treasury Fund
1344,2017-08-03,15697252697.17,10.8763,10.8764,10.8763,0.0003,B-TREASURY : Bualuang Treasury Fund
1345,2017-08-02,16008206891.82,10.876,10.8761,10.876,0.0004,B-TREASURY : Bualuang Treasury Fund
1346,2017-08-01,16047914470.85,10.8756,10.8757,10.8756,0.0004,B-TREASURY : Bualuang Treasury Fund
1347,2017-07-31,16073513970.29,10.8752,10.8753,10.8752,0.0013,B-TREASURY : Bualuang Treasury Fund
1348,2017-07-27,15790013207.23,10.8739,10.874,10.8739,0.0004,B-TREASURY : Bualuang Treasury Fund
1349,2017-07-26,15817945979.37,10.8735,10.8736,10.8735,0.0003,B-TREASURY : Bualuang Treasury Fund
1350,2017-07-25,15783184509.95,10.8732,10.8733,10.8732,0.0003,B-TREASURY : Bualuang Treasury Fund
1351,2017-07-24,15865722681.47,10.8729,10.873,10.8729,0.001,B-TREASURY : Bualuang Treasury Fund
1352,2017-07-21,15802022780.59,10.8719,10.872,10.8719,0.0003,B-TREASURY : Bualuang Treasury Fund
1353,2017-07-20,15732472289.04,10.8716,10.8717,10.8716,0.0003,B-TREASURY : Bualuang Treasury Fund
1354,2017-07-19,15720679522.92,10.8713,10.8714,10.8713,0.0003,B-TREASURY : Bualuang Treasury Fund
1355,2017-07-18,15749289730.23,10.871,10.8711,10.871,0.0003,B-TREASURY : Bualuang Treasury Fund
1356,2017-07-17,15604898762.93,10.8707,10.8708,10.8707,0.001,B-TREASURY : Bualuang Treasury Fund
1357,2017-07-14,15469065179.92,10.8697,10.8698,10.8697,0.0003,B-TREASURY : Bualuang Treasury Fund
1358,2017-07-13,14711238078.6,10.8694,10.8695,10.8694,0.0004,B-TREASURY : Bualuang Treasury Fund
1359,2017-07-12,14689922635.16,10.869,10.8691,10.869,0.0003,B-TREASURY : Bualuang Treasury Fund
1360,2017-07-11,14720836596.85,10.8687,10.8688,10.8687,0.0013,B-TREASURY : Bualuang Treasury Fund
1361,2017-07-07,14639074365.09,10.8674,10.8675,10.8674,0.0002,B-TREASURY : Bualuang Treasury Fund
1362,2017-07-06,14546098017.02,10.8672,10.8673,10.8672,0.0004,B-TREASURY : Bualuang Treasury Fund
1363,2017-07-05,14552018768.07,10.8668,10.8669,10.8668,0.0003,B-TREASURY : Bualuang Treasury Fund
1364,2017-07-04,14599868348.22,10.8665,10.8666,10.8665,0.0004,B-TREASURY : Bualuang Treasury Fund
1365,2017-07-03,14352182697.31,10.8661,10.8662,10.8661,0.0009,B-TREASURY : Bualuang Treasury Fund
1366,2017-06-30,15822980250.26,10.8652,10.8653,10.8652,0.0004,B-TREASURY : Bualuang Treasury Fund
1367,2017-06-29,15910328821.91,10.8648,10.8649,10.8648,0.0004,B-TREASURY : Bualuang Treasury Fund
1368,2017-06-28,16051248997.61,10.8644,10.8645,10.8644,0.0003,B-TREASURY : Bualuang Treasury Fund
1369,2017-06-27,16087017306.02,10.8641,10.8642,10.8641,0.0004,B-TREASURY : Bualuang Treasury Fund
1370,2017-06-26,16054071979.51,10.8637,10.8638,10.8637,0.0009,B-TREASURY : Bualuang Treasury Fund
1371,2017-06-23,15964821043.98,10.8628,10.8629,10.8628,0.0003,B-TREASURY : Bualuang Treasury Fund
1372,2017-06-22,16008778105.33,10.8625,10.8626,10.8625,0.0003,B-TREASURY : Bualuang Treasury Fund
1373,2017-06-21,15611665174.51,10.8622,10.8623,10.8622,0.0004,B-TREASURY : Bualuang Treasury Fund
1374,2017-06-20,15696123651.55,10.8618,10.8619,10.8618,0.0003,B-TREASURY : Bualuang Treasury Fund
1375,2017-06-19,15706517084.77,10.8615,10.8616,10.8615,0.001,B-TREASURY : Bualuang Treasury Fund
1376,2017-06-16,15653574294.44,10.8605,10.8606,10.8605,0.0003,B-TREASURY : Bualuang Treasury Fund
1377,2017-06-15,15059510319.31,10.8602,10.8603,10.8602,0.0003,B-TREASURY : Bualuang Treasury Fund
1378,2017-06-14,15038818014.73,10.8599,10.86,10.8599,0.0004,B-TREASURY : Bualuang Treasury Fund
1379,2017-06-13,15027829760.41,10.8595,10.8596,10.8595,0.0003,B-TREASURY : Bualuang Treasury Fund
1380,2017-06-12,14949288388.4,10.8592,10.8593,10.8592,0.001,B-TREASURY : Bualuang Treasury Fund
1381,2017-06-09,14899046213.36,10.8582,10.8583,10.8582,0.0003,B-TREASURY : Bualuang Treasury Fund
1382,2017-06-08,14846053172.97,10.8579,10.858,10.8579,0.0003,B-TREASURY : Bualuang Treasury Fund
1383,2017-06-07,14738195071.59,10.8576,10.8577,10.8576,0.0004,B-TREASURY : Bualuang Treasury Fund
